lat,long
41.85837259,-87.62735617
41.80181109,-87.63056018
41.76643089,-87.60574786
41.70793329,-87.56834912
41.69272336,-87.60450587
41.75213684,-87.64422891
41.77963154,-87.66088702
41.77898719,-87.70886382
41.83739443,-87.64640771
41.85668453,-87.70838196
41.87358229,-87.70548813
41.86297662,-87.65697251
41.92110332,-87.69745182
41.88008346,-87.76819989
41.97409445,-87.76614884
41.96605342,-87.72811456
41.90324165,-87.64335214
41.94740046,-87.65151202
41.97954951,-87.69284451
41.69143478,-87.66852039
41.99976348,-87.67132429
41.91860889,-87.76557448
41.83070169,-87.62339535
